X,Y,fid,thanjavur_dem_250,rainfall_250m,thanjavur_kfactor_250m,soil_moisture_250m,thanjavur_ndvi_250m,sand_thanjavur_250m,lulc_250m,slope_250m,clay_thanjavur_250m,soil_loss_thanjavur
79.1091576655598,10.8928706883615,680,43,1272.35228,0.01903,3.03138,-0.26447,336,10,89.9799,380,70.46194
79.1092146966321,10.8838315713157,681,46,1260.61921,0.01969,3.78781,-0.21133,340,10,89.91129,382,69.19812
79.1092716774951,10.8747924486633,682,45,1248.8981,0.02001,4.54312,-0.26037,326,10,89.82043,399,72.50415
79.1093286081562,10.8657533204088,683,47,1237.18894,0.01759,5.2973,-0.20352,329,10,89.71154,387,60.26348
79.1093854886227,10.8567141865565,684,42,1225.49172,0.02271,6.05037,-0.27798,344,40,88.56066,393,204.58641
79.1094423189018,10.8476750471111,685,40,1214.49768,0.0247,6.80231,-0.31485,324,40,86.22447,402,226.33723
79.1094990990009,10.8386359020769,686,42,1214.49218,0.02007,7.55313,-0.25625,336,10,89.94666,380,70.459
79.1095558289273,10.8295967514583,687,44,1214.48669,0.02181,8.30284,-0.26036,333,20,89.88875,386,115.23734
79.1096125086882,10.82055759526,688,41,1214.48121,0.0205,8.62606,-0.25778,337,80,89.27856,375,54.05557
79.109669138291,10.8115184334862,689,41,1214.47573,0.0235,8.63427,-0.5725,340,40,87.0303,387,257.72916
79.1097257177428,10.8024792661416,690,42,1215.26532,0.02348,8.64258,-0.29708,363,40,88.37644,353,212.86847
79.109782247051,10.7934400932305,691,44,1224.08151,0.02289,8.65099,-0.37139,362,40,88.94672,368,221.07539
79.1098387262229,10.7844009147574,692,51,1232.88812,0.0244,8.65949,-0.17956,352,40,87.69711,368,203.92867
79.1098951552655,10.7753617307268,693,60,1241.68516,0.01896,8.66809,-0.1217,379,10,89.9802,333,60.79057
79.1099515341863,10.7663225411432,694,73,1250.47264,0.0176,8.6768,-0.12347,357,50,89.61835,316,113.79738
79.1100078629924,10.757283346011,695,81,1258.78626,0.0204,8.68559,-0.18606,350,20,88.86708,355,105.14104
79.110064141691,10.7482441453347,696,80,1263.7137,0.01514,8.69449,-0.1058,323,50,89.82043,339,97.37467
79.1101203702895,10.7392049391187,697,78,1268.62803,0.01987,8.70348,-0.1005,340,50,88.22009,361,127.63732
79.1101765487949,10.7301657273676,698,77,1273.52925,0.01935,8.69195,-0.17912,355,60,89.40605,335,83.57756
79.1102326772145,10.7211265100857,699,73,1278.41738,0.01843,8.66873,-0.21001,348,20,87.11678,333,98.25991
79.1102887555555,10.7120872872777,700,69,1286.10813,0.02107,8.6456,-0.13955,361,60,89.98016,329,88.82607
79.1103447838251,10.7030480589478,701,67,1309.53393,0.0207,8.62255,-0.23348,367,10,88.5617,328,76.92788
79.1104007620305,10.6940088251007,702,68,1332.98108,0.02183,8.59959,-0.07545,378,40,89.36005,311,180.02292
79.1104566901788,10.6849695857407,703,68,1356.44955,0.02535,8.57671,-0.17958,385,60,86.96748,314,116.46371
79.1105125682773,10.6759303408724,704,65,1379.93931,0.02639,8.55393,-0.14753,375,10,89.26134,310,96.17828
79.110568396333,10.6668910905002,705,63,1401.13287,0.02671,8.53123,-0.1669,372,40,88.35983,311,251.09521
79.1106241743531,10.6578518346286,706,58,1411.97384,0.02518,8.50861,-0.20869,368,40,86.51634,315,246.61646
79.1106799023449,10.6488125732621,707,59,1422.81951,0.01981,8.48609,-0.1477,364,60,86.67158,333,92.8408
79.1107355803154,10.6397733064051,708,63,1433.66986,0.02033,7.98827,-0.10683,376,60,88.69047,328,92.78977
79.1107912082718,10.6307340340622,709,65,1444.52489,0.01978,7.28591,-0.18152,377,10,87.69833,333,77.61603
79.1108467862212,10.6216947562377,710,65,1390.58449,0.02035,6.58461,-0.00318,386,40,89.25079,313,163.31779
79.1127605649325,10.3053166138286,711,29,1386.20651,0.02402,1.54202,-0.11782,323,10,81.53506,386,84.45619
79.1128143473204,10.2962771416536,712,43,1381.42011,0.02356,1.5545,-0.17215,335,60,88.54737,392,109.72222
79.1128680799602,10.2872376641629,713,40,1376.61358,0.02284,1.56702,-0.17284,327,10,89.47133,395,84.85609
79.1129217628589,10.2781981813611,714,34,1371.78692,0.0237,1.87453,-0.18321,343,40,84.81779,379,220.13765
79.1129753960234,10.2691586932527,715,40,1366.94018,0.02082,2.20085,-0.15215,355,10,88.36437,377,75.41332
79.1131359971793,10.2420401971323,716,29,690.75803,0.01793,3.19197,-0.31419,341,40,88.38219,342,93.62202
79.113189431475,10.2330006878422,717,24,415.83096,0.02003,3.5264,-0.30775,328,20,89.31561,353,37.60082
79.1132428160706,10.2239611732679,718,28,140.15771,0.01853,3.86285,-0.19749,327,40,87.15625,346,17.86119
79.118189561437,10.911005257271,719,38,762.79951,0.02204,2.26425,-0.32005,346,40,89.2183,411,127.65255
79.1182464170166,10.9019661036653,720,38,1017.76604,0.01959,2.93283,-0.32375,329,40,88.9699,387,151.81577
79.1183032226149,10.8929269444468,721,39,1266.79533,0.01933,3.60029,-0.28916,332,40,87.51659,385,181.42314
79.1183599782391,10.88388777962,722,44,1256.02099,0.02191,4.26663,-0.17904,333,80,88.25539,394,55.98087
79.1184166838965,10.8748486091894,723,47,1245.25856,0.02243,4.93186,-0.24784,330,10,89.84348,399,80.19833
79.1184733395944,10.8658094331593,724,43,1234.50801,0.02269,5.59596,-0.20157,346,40,89.63455,391,193.60585
79.1185299453401,10.8567702515343,725,43,1223.76935,0.01752,6.25895,-0.24265,358,10,88.38138,367,61.28511
79.1185865011408,10.8477310643189,726,40,1213.6122,0.02414,6.92082,-0.25455,335,60,87.77457,396,105.6469
79.1186430070039,10.8386918715174,727,41,1213.5919,0.02332,7.58158,-0.30036,330,40,89.75916,393,211.7052
79.1186994629364,10.8296526731344,728,43,1213.56937,0.02454,8.24122,-0.2678,325,10,88.20344,395,86.83259
79.1187558689458,10.8206134691743,729,42,1213.54686,0.01947,8.53458,-0.3041,336,40,89.17419,366,177.28195
79.1188122250392,10.8115742596415,730,41,1213.52436,0.0233,8.55072,-0.29215,327,40,88.45793,399,210.0674
79.1188685312239,10.8025350445406,731,42,1214.18305,0.02424,8.56695,-0.32786,352,40,88.68901,375,224.75826
79.1189247875071,10.793495823876,732,45,1222.27209,0.02378,8.58328,-0.17512,350,50,89.75384,381,157.24123
79.118980993896,10.7844565976521,733,55,1230.37393,0.01416,8.59971,-0.10433,97,50,86.62423,102,88.3424
79.1190371503979,10.7754173658735,734,66,1238.48855,0.01865,8.61624,-0.13688,164,50,87.94917,162,120.74855
79.1190932570199,10.7663781285445,735,75,1246.61592,0.01808,8.63287,-0.12841,360,10,87.37463,366,58.45262
79.1191493137692,10.7573388856697,736,80,1254.27317,0.02064,8.64959,-0.1134,341,50,89.47095,360,132.65028
79.1192053206531,10.7482996372535,737,79,1258.21537,0.02111,8.66641,-0.10169,270,50,87.75874,279,134.56017
79.1192612776787,10.7392603833004,738,77,1262.15277,0.02206,8.68332,-0.14709,354,40,88.77718,351,183.72755
79.1193171848532,10.7302211238149,739,74,1266.08537,0.01987,8.6794,-0.1562,357,50,89.97594,339,133.89676
79.1193730421837,10.7211818588013,740,70,1270.01317,0.02061,8.6633,-0.19852,362,10,88.44167,322,72.1749
79.1194288496775,10.7121425882643,741,64,1276.99792,0.02115,8.64728,-0.22055,354,20,89.86297,313,113.82631
79.1194846073417,10.7031033122081,742,63,1301.89863,0.02159,8.63135,-0.11817,373,20,88.60748,313,108.43816
79.1195403151834,10.6940640306374,743,67,1326.78059,0.02208,8.6155,-0.12934,380,20,85.83754,308,113.82706
79.1195959732098,10.6850247435566,744,68,1351.64383,0.02018,8.59974,-0.15613,373,20,87.65015,324,108.75121
79.1196515814279,10.6759854509702,745,67,1376.48837,0.02156,8.58407,-0.13963,372,40,88.99669,317,194.54921
79.1197071398451,10.6669461528826,746,65,1398.8996,0.02114,8.56848,-0.12749,362,20,89.0811,325,115.07352
79.1197626484683,10.6579068492982,747,62,1410.06144,0.02026,8.55298,-0.16078,362,10,88.5144,324,76.26842
79.1198181073047,10.6488675402217,748,54,1421.22586,0.01984,8.53757,-0.36419,371,40,87.26186,336,221.02948
79.1198735163614,10.6398282256573,749,58,1432.39287,0.02028,8.10709,-0.24705,368,40,89.01468,343,208.41916
79.1199288756455,10.6307889056097,750,60,1443.56245,0.0209,7.49298,-0.19014,365,40,88.01698,337,206.48137
79.1199841851641,10.6217495800833,751,60,1393.53714,0.01964,6.87994,-0.13459,354,40,87.79221,366,178.47362
79.1200394449243,10.6127102490825,752,62,1110.5613,0.01982,6.26796,-0.11078,381,50,89.26629,339,112.50919
79.1200946549332,10.6036709126118,753,36,828.31079,0.01878,5.65705,-0.13354,386,20,68.9615,341,55.65608
79.1208623751162,10.4771196301915,754,52,73.75041,0.02703,2.54215,-0.1321,383,60,87.99857,299,6.48622
79.1211884181748,10.422883041417,755,39,85.29611,0.01952,2.41232,-0.14181,357,10,88.66046,365,4.37363
79.1212425850293,10.413843591113,756,40,87.53944,0.02235,2.38287,-0.24738,353,40,89.7948,364,14.04205
79.1212967022866,10.4048041354376,757,18,89.80003,0.02422,2.35326,-0.07082,259,0,53.8372,283,0
79.1218351485293,10.3144092842462,758,36,1421.52085,0.02392,2.37223,-0.05038,334,40,89.45963,396,205.44489
79.1218887206721,10.305369769782,759,31,1590.25044,0.01842,2.38874,-0.10075,315,10,87.98299,371,74.16144
79.1219422433003,10.2963302500002,760,36,1582.72082,0.01802,2.4053,-0.10554,326,10,88.94197,372,72.55321
79.1219957164206,10.2872907249054,761,39,1575.19765,0.02255,2.4219,-0.11479,330,10,89.05383,397,91.09701
79.1220491400401,10.2782511945021,762,31,1567.68092,0.01928,2.89112,-0.3812,338,40,89.05801,356,240.18869
79.1221025141654,10.2692116587947,763,31,1560.17062,0.01844,3.39104,-0.03309,345,30,88.86759,356,170.9938
79.1221558388034,10.2601721177877,764,31,1424.16842,0.01868,3.89299,-0.23058,371,40,87.11497,353,188.09314
79.1222091139609,10.2511325714857,765,32,1135.30158,0.01652,4.39696,-0.13947,359,10,89.34351,364,49.17142
79.1222623396447,10.2420930198931,766,32,847.15919,0.02225,4.90294,-0.13433,335,10,89.52673,360,49.21497
79.1223155158617,10.2330534630144,767,22,559.74025,0.0219,5.41094,-0.31344,319,20,87.55201,349,55.51518
79.1223686426186,10.2240139008541,768,19,273.04375,0.01957,5.92094,-0.1933,331,10,75.92039,352,14.10232
79.127279090719,10.9201005316335,769,38,503.38965,0.02031,2.58515,-0.15556,364,40,85.31853,383,67.66985
79.1273357201043,10.911061336087,770,37,756.91719,0.02362,3.01446,-0.32575,345,40,85.37215,391,135.78699
79.1273922997436,10.9020221349261,771,39,1010.42679,0.01845,3.59294,-0.15499,333,40,89.25273,388,123.88276
79.127448829644,10.8929829281552,772,40,1259.64588,0.02234,4.1703,-0.25991,329,10,87.73769,405,81.4943
79.1275053098128,10.8839437157786,773,43,1249.59716,0.01968,4.74655,-0.23651,346,40,89.95557,388,174.92033
79.1275617402574,10.874904497801,774,46,1239.55747,0.02216,5.32169,-0.22896,345,10,89.98766,396,77.67428
79.1276181209848,10.8658652742268,775,43,1229.5268,0.01881,5.89571,-0.2776,345,10,89.94963,379,68.00139
79.1276744520025,10.8568260450603,776,40,1219.50515,0.02099,6.46862,-0.31733,355,40,87.50384,378,193.8143
79.1277307333175,10.8477868103061,777,41,1209.96291,0.02289,7.04042,-0.22116,340,10,88.7683,381,77.81533
79.1277869649372,10.8387475699687,778,41,1209.94047,0.02225,7.61111,-0.4651,336,40,85.05904,383,225.8008
79.1278431468688,10.8297083240524,779,41,1209.91804,0.02375,8.1807,-0.2075,334,40,89.0543,380,199.61629
79.1278992791193,10.8206690725617,780,42,1209.89564,0.02236,8.443,-0.16316,333,40,89.9084,385,181.06274
79.1279553616962,10.8116298155012,781,40,1209.87325,0.01758,8.46707,-0.32902,355,40,87.59485,368,162.48781
79.1280113946065,10.8025905528752,782,43,1210.56428,0.01951,8.49123,-0.13919,346,10,89.8607,365,61.92152
79.1280673778575,10.7935512846883,783,53,1219.69259,0.01844,8.51548,-0.10285,107,50,88.56312,110,114.14436
79.1281233114563,10.7845120109448,784,60,1228.83362,0.0179,8.53984,-0.13575,366,10,89.97993,353,57.48414
79.1281791954102,10.7754727316493,785,68,1237.98738,0.01847,8.56429,-0.13973,361,50,89.36345,367,119.94543
79.1282350297262,10.7664334468061,786,76,1247.15383,0.01963,8.58884,-0.13545,347,60,87.9401,360,79.89613
79.1282908144116,10.7573941564199,787,74,1255.71938,0.02036,8.61349,-0.12445,288,50,87.82243,296,132.22231
79.1283465494735,10.7483548604949,788,73,1259.26941,0.02102,8.63823,-0.10769,347,20,88.94804,360,101.17233
79.1284022349191,10.7393155590358,789,71,1262.81466,0.02039,8.66307,-0.08219,353,20,89.97551,352,96.19105
79.1284578707554,10.7302762520469,790,68,1266.35513,0.02063,8.66677,-0.22477,362,20,89.79144,330,110.45871
79.1285134569897,10.7212369395328,791,64,1269.89084,0.0214,8.65778,-0.05732,362,20,87.51707,322,99.07809
79.1285689936291,10.7121976214978,792,62,1276.19746,0.02166,8.64888,0.06014,363,40,87.8727,318,149.35696
79.1286244806807,10.7031582979465,793,66,1299.55805,0.02182,8.64006,-0.2125,375,40,88.39091,312,197.74834
79.1286799181515,10.6941189688833,794,66,1322.89998,0.02016,8.63133,-0.15624,376,10,89.14657,319,70.96539
79.1287353060489,10.6850796343127,795,64,1346.22327,0.02083,8.62268,-0.09345,378,10,88.96733,312,70.54672
79.1287906443797,10.6760402942391,796,66,1369.52796,0.02158,8.61412,-0.09068,373,20,89.03727,316,111.27644
79.1288459331511,10.667000948667,797,63,1390.77949,0.02086,8.60565,-0.13914,364,20,87.74388,324,113.99729
79.1289011723703,10.6579615976009,798,61,1402.15045,0.01984,8.59727,-0.02231,367,40,89.73492,328,163.62996
79.1289563620442,10.6489222410453,799,59,1413.52399,0.01988,8.58896,-0.13254,366,40,89.72048,331,183.12123
79.12901150218,10.6398828790046,800,54,1424.90009,0.02306,8.22486,-0.19646,372,10,89.63515,360,90.46295
79.1290665927848,10.6308435114833,801,53,1436.27876,0.01865,7.69901,-0.13914,373,40,88.52904,352,175.5271
79.1291216338655,10.6218041384859,802,54,1400.28767,0.02003,7.17422,-0.2105,346,40,89.27393,368,195.30225
79.1291766254293,10.6127647600167,803,53,1177.37273,0.01952,6.65049,-0.14982,349,40,89.6166,376,152.06772
79.1292315674831,10.6037253760804,804,50,955.17964,0.01874,6.12782,-0.26649,366,40,87.65828,359,130.25778
79.1292864600341,10.5946859866813,805,47,733.70741,0.0193,5.60621,-0.12034,366,40,86.66955,361,91.08001
79.1293413030893,10.585646591824,806,44,512.95508,0.01884,5.08565,-0.20702,379,40,88.43298,345,67.07979
79.1293960966556,10.5766071915129,807,44,328.34861,0.01989,4.56615,-0.36471,366,40,87.96915,339,51.23701
79.1298870129126,10.4952523440306,808,47,315.31743,0.01977,3.46263,-0.35441,362,40,88.69334,338,48.57077
79.1299413119759,10.4862128894276,809,52,369.19431,0.0207,3.4719,-0.2885,370,20,88.65878,314,33.98832
79.1299955616272,10.4771734294201,810,54,370.82571,0.02666,3.48118,-0.23167,369,20,89.24337,314,42.02375
