fid,erosion_score_pred
800,0.6601311508736054
801,0.6404006042213599
802,0.6471556828130174
803,0.6931616782683978
805,0.6736664591859557
806,0.7008115326621394
808,0.7046291863402849
809,0.716191146723553
810,0.7087897540798901
811,0.672137249985526
812,0.6985911288870871
828,0.7133215693886934
829,0.6322201051169902
830,0.6797481180341799
831,0.7371886868466136
832,0.6945020962113103
833,0.6856287803448774
834,0.6975005887655048
835,0.6996364902410879
836,0.6929112871108221
837,0.6827741516022937
838,0.6764723563459406
839,0.674565173419432
840,0.6775363799613484
841,0.6892568852949879
842,0.679920948760148
843,0.6620421610475902
844,0.6373448993765373
845,0.6346724469578127
846,0.6581927260309662
847,0.6846198946170362
848,0.705664778678007
849,0.6527644584019424
850,0.6717238633988573
851,0.6443233475960276
852,0.6416080080211601
853,0.6733032272133836
854,0.690393073401044
855,0.6959867311276304
856,0.6743027944708969
857,0.6629873574755473
858,0.635784445128227
859,0.6288744609682924
860,0.6675427983440891
861,0.6570834741819916
862,0.6821231248527383
863,0.6924359379781742
864,0.7064700204273087
865,0.6403343315536824
866,0.5704439721667149
867,0.6116231422545629
868,0.6734570620046528
869,0.5788105410041631
870,0.5378456914115199
871,0.6131418340477015
872,0.6809967422176867
873,0.6355269355308379
874,0.6874986051863631
875,0.6435483652647382
876,0.6227785096577794
877,0.6965791610517434
878,0.6944864483120224
879,0.6724440319375257
880,0.6901253786987186
896,0.6657422129938678
897,0.6801610910559802
898,0.721395106323791
899,0.7122315940683979
900,0.67475706573818
901,0.6639374524013606
902,0.6964947215581753
903,0.7015197202614954
904,0.6931252511736213
905,0.7024933594148473
906,0.6901343965522307
907,0.6956233665591058
908,0.6991416554884043
909,0.6770525640361711
910,0.6584949260960298
911,0.627611387455217
912,0.5549377470606838
913,0.5324674130258588
914,0.5759998263342573
915,0.6674916687087932
916,0.663333549239254
917,0.6036556109159894
918,0.57333180076457
919,0.5394035963246286
920,0.5549481512389314
921,0.6368305162992501
922,0.6806707749302799
923,0.6959502405702016
924,0.664936304417555
925,0.6842721656253402
926,0.6938263097945117
927,0.6165163369728363
928,0.6938269660140811
929,0.6700471003175335
930,0.6901191331870898
931,0.7119933021900314
932,0.7150750424449449
933,0.6280681599514559
934,0.5456567844710629
935,0.5615500157424657
936,0.6379490114783475
937,0.6385468033367212
938,0.6166159139716632
939,0.6347371215851592
940,0.6577905540041488
941,0.5956194449782788
942,0.6393023663537295
943,0.6055750777827823
944,0.5909445213661694
945,0.6727495205494181
946,0.6929971848625928
947,0.6892402079246616
948,0.6884106733826499
967,0.6842813643283601
968,0.6754843341503335
969,0.7009618251404857
970,0.6918400548558687
971,0.7057921706556393
972,0.7169377328543911
973,0.7082846470319806
974,0.7009561161919513
975,0.7247058197863786
976,0.654134951009351
977,0.6034914538572654
978,0.6227969181300766
979,0.5943780722225765
980,0.5306502683815982
981,0.4978170830592071
982,0.5111026048944491
983,0.5790762049720567
984,0.6329350185275483
985,0.6048306001505467
986,0.5399607348056197
987,0.5617031047267933
988,0.5194332004143137
989,0.6107464581608866
990,0.6778591177210281
991,0.7009511997103507
992,0.7006069708780728
993,0.69642301643416
994,0.6717338050333691
995,0.6315220232959637
996,0.6987239174271125
997,0.702340114349086
1001,0.65218519223946
1002,0.5165169726418181
1003,0.5738921620184737
1004,0.6072935582450111
1005,0.6273955612286488
1006,0.6420715375036269
1007,0.6630864019945603
1008,0.610918622400695
1009,0.5940185614752571
1010,0.631754557045862
1011,0.6276128801802326
1012,0.6274607628938377
1013,0.6455881295086534
1014,0.6661101362349071
1015,0.6521862153887806
1016,0.7123300145691797
1032,0.6907402415837886
1033,0.7004353572027768
1034,0.6948376217116992
1035,0.6750919719270467
1036,0.7058117085255707
1037,0.7072032552405678
1038,0.6896786851198835
1039,0.7011953625992302
1040,0.7038906476080263
1041,0.6769511490915038
1042,0.6855348869902154
1043,0.6845014940311493
1044,0.5757633634767079
1045,0.5330173300021073
1046,0.5858586392856909
1047,0.5470323271656576
1048,0.5110513541351905
1049,0.49494921548635146
1050,0.4881775160088134
1051,0.5613312690129886
1052,0.5680999177909649
1053,0.5313983533326443
1054,0.4859680871090431
1055,0.5165616495431631
1056,0.536582229378901
1057,0.5799180431814414
1058,0.5867877263783465
1059,0.6588383550709209
1060,0.7052477569201273
1061,0.6854637360078042
1062,0.6882804288875579
1064,0.6967753875066199
1065,0.692026998267242
1067,0.7118917889864556
1068,0.7107586276727728
1069,0.6440545514595528
1070,0.5242603650548858
1071,0.561817847790603
1072,0.6410279423034766
1073,0.6405298506515151
1074,0.698116888727727
1075,0.7149074223012055
1076,0.6919925001439056
1077,0.6920289786433503
1078,0.7082988251244147
1079,0.6667551332304291
1080,0.6815652338660537
1081,0.6642126621278156
1082,0.6559407960526382
1083,0.6898121612699506
1099,0.671068320875922
1100,0.679974043465247
1101,0.6992775302322317
1102,0.6610255474473458
1103,0.67591972982641
1104,0.6956712774271125
1105,0.6903694900202504
1106,0.6597374769106259
1107,0.6154257786254254
1108,0.5920046109911568
1109,0.5596429065656128
1110,0.5857398906332592
1111,0.6213718582409534
1112,0.5458738951463545
1113,0.5423607307438396
1114,0.6009104449500555
1115,0.531705028829032
1116,0.5280292924207614
1117,0.5511392233613758
1118,0.5708749789412754
1119,0.6419065727195975
1120,0.6553192797143623
1121,0.6544622974236334
1122,0.6241615072313919
1123,0.6055755605511964
1124,0.6149293566438672
1125,0.6224209130766455
1126,0.5435492299980995
1127,0.5471831929158062
1128,0.6556384751144617
1129,0.6711326186878181
1130,0.6921715694017113
1131,0.7157499158655415
1132,0.6983224716134521
1133,0.6854556116943145
1134,0.6907543055295996
1137,0.6960278067469704
1138,0.5747701996228273
1139,0.5317584034779888
1140,0.6646299120457859
1141,0.6711333385490404
1147,0.7105581126980314
1150,0.714008681790754
1151,0.7025095550515333
1166,0.688869567124545
1167,0.6869059683418828
1168,0.6700919821720948
1169,0.6664224379372559
1170,0.6660110449501463
1171,0.6629212845588012
1172,0.680021862292791
1173,0.6684743673547531
1174,0.6480705101036057
1175,0.6654770835149496
1176,0.635889379901716
1177,0.5966618047080433
1178,0.5644347463637881
1179,0.5992193459793489
1180,0.5747289672000314
1181,0.5301006844480016
1182,0.5734346506907324
1183,0.5729324940664399
1184,0.6661838995737392
1185,0.701987384552627
1186,0.6718268337655586
1187,0.6959587692644728
1188,0.678667600094368
1189,0.6973893010543437
1190,0.6892531238947186
1191,0.678361093332186
1192,0.6938256734681638
1193,0.6269621884731184
1194,0.5339516692460115
1195,0.5689273743146539
1196,0.6913588717157048
1197,0.7066450018692382
1198,0.703976632331985
1200,0.712933925556163
1201,0.6957442097490646
1202,0.7082178448577253
1205,0.7063290019234244
1206,0.6085740143110823
1207,0.5614497121458587
1208,0.6924498001045856
1209,0.6931510083836601
1210,0.7169514665591352
1218,0.715133459797496
1233,0.6989554494718369
1234,0.6873276605575002
1235,0.6938409164432153
1236,0.6381437339944315
1237,0.6141080660308404
1238,0.6185946487162591
1239,0.638265545784514
1240,0.6637774349694961
1241,0.6557962928821328
1242,0.6423877547715341
